rain,radarX,radarY,date,text,latlon,tiffile,labels
6191.0,304.0,447.0,20131013,Opschaling | #DeLier | PRIO 2 Wateroverlast (VK: 16) (Grip1) COPI Brandweerkazerne De Lier DL 5490 5480 2678 | http://t.co/NFO0JPVk10 #p2000,"(51.9744488, 4.2511633)",ahn2_5_37bz2.tif,1
6191.0,304.0,447.0,20131013,Opschaling | #DeLier | PRIO 2 Wateroverlast (VK: 16) (Grip1) COPI Brandweerkazerne De Lier DL 5490 5480 2678 | http://t.co/kH7IQRaPD4 #p2000,"(51.9744488, 4.2511633)",ahn2_5_37bz2.tif,1
7130.0,304.0,449.0,20131013,Opschaling | #DeLier | PRIO 2 Wateroverlast (VK: 16) (Grip2) Burgerweg  DL 2678NV | http://t.co/Bjg042LN4Y #p2000,"(51.9640819, 4.2472838)",ahn2_5_37bz2.tif,1
7130.0,304.0,449.0,20131013,Opschaling | #DeLier | PRIO 2 Wateroverlast (VK: 16) (Grip2) Burgerweg  DL 2678NV | http://t.co/P7dh2UpzNK #p2000,"(51.9640819, 4.2472838)",ahn2_5_37bz2.tif,1
7130.0,304.0,449.0,20131013,Opschaling | #DeLier | PRIO 2 Wateroverlast (VK: 16) (Grip2) Burgerweg  DL 2678NV | http://t.co/0l5olSsZwg #p2000,"(51.9640819, 4.2472838)",ahn2_5_37bz2.tif,1
7130.0,304.0,449.0,20131013,Opschaling | #DeLier | PRIO 2 Wateroverlast (VK: 16) (Grip1) Burgerweg  DL 2678NV | http://t.co/avdSmXURwi #p2000,"(51.9640819, 4.2472838)",ahn2_5_37bz2.tif,1
6978.0,304.0,450.0,20131013,#Westland #DeLier Wateroverlast Kazerne brandweer De Lier centrale punt Grip 1 waar alles geregeld word. http://t.co/QflF1aoPMy,"(51.955662, 4.2416492)",ahn2_5_37bz2.tif,1
4939.0,305.0,440.0,20131013,"Hele drukke dienst geweest. Veel wateroverlast,weinig ongelukken ondanks dat weinig mensen hun snelheid aanpassen ad omstandigheden","(52.03642711, 4.26733059)",ahn2_5_30dz2.tif,1
4939.0,305.0,440.0,20131013,Voorbereid op #wateroverlast met zandzak voor de deur http://t.co/LGXGNdezSy,"(52.0403129, 4.2690741)",ahn2_5_30dz2.tif,1
5715.0,305.0,454.0,20131013,Situatie in Maassluis wateroverlast momenteel 'under controll' . Complimenten aan eigen medewerkers voor hun inzet. Hopelijk rustige nacht.,"(51.92036058, 4.2518872)",ahn2_5_37dn2.tif,1
5715.0,305.0,454.0,20131013,Diverse situaties van ernstige wateroverlast m.n.  bedrijf De Siervis. Gemeente en brandweer vol in bedrijf. Opschalen nog niet nodig.,"(51.92042125, 4.25185179)",ahn2_5_37dn2.tif,1
5715.0,305.0,454.0,20131013,Wateroverlast in Maassluis bij winkelcentrum Steendijkpolder en omgeving. Ik ga er heen.,"(51.92044456, 4.25181184)",ahn2_5_37dn2.tif,1
5338.0,311.0,451.0,20131013,"Vandaag slaan we alleen linksaf #Esdoorndreef #wateroverlast #regen #Vlaardingen @ Esdoorndreef,… http://t.co/a1kjEJFKNs","(51.935636, 4.34267)",ahn2_5_37ez1.tif,1
5634.0,311.0,454.0,20131013,goedemorgen.  het is echt herfst. wat een regen vannacht niet normaal meer. 2 uitrukken gehad. # wateroverlast,"(51.9174784, 4.3385406)",ahn2_5_37gn1.tif,1
5236.0,313.0,452.0,20131013,1e melding is aflossen collega vd nachtdienst bij #wateroverlast op verbinding #A20-&gt;A4. Inmiddels meeste water weg http://t.co/LknGnYePeh,"(51.9276311, 4.3656255)",ahn2_5_37ez1.tif,1
5197.0,314.0,450.0,20131013,Geen wateroverlast hier #Schiedam #Sveaparken wel veel regen tot nu toe,"(51.9451502, 4.3853109)",ahn2_5_37ez2.tif,1
5581.0,314.0,456.0,20131013,"Op veel locaties flinke wateroverlast, pas uw snelheid aan! De U-bocht vd #A20-&gt;A4 is weer open,de grote pomp kan het goed aan.","(51.8951763, 4.375163)",ahn2_5_37gn2.tif,1
5160.0,318.0,451.0,20131013,"Zal het bestuur van Rotterdam de problemen die komen, goed inschatten? (Wateroverlast) Ik zie ze allemaal pretfretten!","(51.93230649, 4.44084688)",ahn2_5_37ez2.tif,1
5017.0,320.0,448.0,20131013,De brandweer gaat met onbekende prioriteit naar #Meidoornsingel in #Rotterdam #wateroverlast [19:30] http://t.co/HOg1O3IwMZ,"(51.9570831, 4.4724434)",ahn2_5_37fz1.tif,1
5005.0,320.0,450.0,20131013,Op dit moment staat de regenmeter op 49.5 mm bij mij in Rotterdam Liskwartier. Het is nog niet droog. Gaat nog over 50 mm. #wateroverlast,"(51.93969831, 4.47498004)",ahn2_5_37fz1.tif,1
5005.0,320.0,450.0,20131013,"""@AkkerTweet: #akker RT @gjzevenbergen: Plaatsing noodpomp bij Zuidland #regen #wateroverlast http://t.co/3bgIHxJq3L"" #fb","(51.93925271, 4.47544291)",ahn2_5_37fz1.tif,1
5005.0,320.0,450.0,20131013,@Ward_Weerman: Prachtige depressiekern boven Noordzee. Helaas zorgt deze voor veel regen &amp; wateroverlast. http://t.co/PYANQactNj #fb,"(51.93966088, 4.47503587)",ahn2_5_37fz1.tif,1
5005.0,320.0,450.0,20131013,"“@JacobJanButh: 105 mm om 10 uur vanmorgen bij akkerbouwer 5 km verderop. #regen #wateroverlast http://t.co/HOtXeQbwqs”""  #fb","(51.93984972, 4.4749949)",ahn2_5_37fz1.tif,1
5005.0,320.0,450.0,20131013,"""@MarvinZeijdel: #Lidl #Hellevoetsluis wordt droog gepompt.. #wateroverlast #Regen #Herfst http://t.co/iSDjeQjlSQ"" #fb","(51.93984972, 4.4749949)",ahn2_5_37fz1.tif,1
5005.0,320.0,450.0,20131013,@Vrolek: In Moordrecht kreeg een huis water binnen. Gouda worden zandzakken gebruikt om #wateroverlast aan de Nieuwe Haven tegen te gaan #fb,"(51.93984972, 4.4749949)",ahn2_5_37fz1.tif,1
5005.0,320.0,450.0,20131013,@CorrieSmit: Waterpeil stijgt weilanden lopen langzaam onderwater als dat maar goed gaat #wateroverlast Vinkeveen http://t.co/1Wz4eqh7GH #fb,"(51.93764713, 4.47440173)",ahn2_5_37fz1.tif,1
5029.0,320.0,451.0,20131013,@edaldus : ondertussen in de kelder (Blijdorp Rdam) #wateroverlast http://t.co/fl2V8LH7ZP,"(51.9293605, 4.4675068)",ahn2_5_37fz1.tif,1
